股票代码 股票名称 当前价 涨跌额 涨跌幅 年初至今 成交量 成交额 换手率 市盈率(ＴＴＭ) 股息率 市值
ASYS 阿姆科技 6.78 0.28 4.31 49.67 84810 556171 0.6 -27.412 - 96462992
CRTO Criteo 20.86 0.86 4.3 -8.19 447872 9187936 0.66 15.933 - 1412404337
LAKE 雷克兰工业 12.15 0.5 4.29 16.38 30021 356710 0.37 -64.394 - 98651779
NNBR NN 9.31 0.38 4.26 39.7 668848 6103407 1.59 -1.482 3.1355 391990167
FBM "Foundation Building" 12.26 0.5 4.25 47.53 196120 2367757 0.46 -43.179 - 526043817
INFN 英飞朗 4.91 0.2 4.25 23.06 3584161 11797220 2.02 -4.065 - 871110080
DLPH 德尔福汽车 25.3 1.03 4.24 76.68 3496372 89608518 3.95 6.257 2.1013597033374536 2239851150
GGAL 加利西亚金融 25.61 1.04 4.23 -7.11 1266945 27114244 0.89 19.156 1.44789 3653945165
TAT 大西洋石油 0.865 0.035 4.22 -16.83 5875 5058 0.01 -8.706 - 45409616
MS 摩根士丹利 46.69 1.89 4.22 18.59 21500207 1001694644 1.27 9.577 2.67857 78743659841
HNP 华能电力 24.96 1.01 4.22 -0.2 46257 1154297 0.01 89.499 2.21472 9795610232
GNUS "Genius Brands" 1.98 0.08 4.21 -7.91 59978 116061 0.57 -2.208 - 20656782
AP 安博科-匹兹堡 3.22 0.13 4.21 4.83 54856 175923 0.44 -0.58 2.4161 40233404
ABIO 方舟生物医药 5.96 0.24 4.2 1687.11 47422 271918 4.65 -0.766 0 6077579
GNMX "Aevi Genomic" 0.2087 0.0084 4.19 -70.19 750354 156217 1.16 -0.439 - 13516848
TEN 天纳克 25.84 1.04 4.19 -4.98 1465311 37762530 1.81 38.018 4.03226 2090967529
STK "Columbia Seligman Premium Technology Growth Fund Inc" 21.92 0.88 4.18 30.4 209350 4499350 1.34 0.256 13.52203 342456160
MH-D "Maiden Holdings, Ltd. 6.700% Non-Cumulative Preference Shares, Series D" 5.99 0.24 4.17 -29.79 1200 7106 0.02 0 29.13043 35940000
MYND "MYnd Analytics" 1.25 0.05 4.17 70.77 76950 98573 0.91 -1.144 - 10529618
OTLK "Outlook Therapeutics" 1.635 0.065 4.14 227 800627 1250834 6.78 -0.48 0 19293000
CVTI 契诺货运 20.4 0.81 4.13 6.25 195938 3974680 1.07 8.816 0.10209290454313426 374717665
ING 荷兰国际 13.45 0.53 4.1 26.17 4140337 55538481 0.11 9.715 4.83225 52343752360
ORTX "Orchard Therapeutics" 20.04 0.79 4.1 27.4 105223 2078759 0.12 -7.465 - 1720745762
SUM 峰会材料 15.63 0.61 4.06 26.05 2192582 34074917 1.96 48.044 - 1745432360
MBII 马罗尼生物创新 1.54 0.06 4.05 4.76 175651 264274 0.16 -8.433 - 170463419
